"TX_RESPOSTAS_CH";"TX_GABARITO_CH"
"CBAECADCEACECEAEADECCABABECADBCAECADBACDEABCE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"CBCEBDBECCAADEBACBEBCAD.CDBEADAEDBEDEEAECEBEB";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"AEABAEDBEBACBBBEBBAABCEBAAEBDCCBDBDCCEABDACBE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"AEABCADAEEADECAEBBBBADDBAAABDBDACABDEBDDABCCA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DCAAEADCABAAECEDCCEBEBDCADDECECADADCCBDEEAEEE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"ADABBADAEBBBCCBBBEABAEDAAAEACBDABABCAEEADDCEA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DEABEDAAEDADDCAECACBACEAAACBEEDACACBEECDADCCD";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DAABCEDAEBADECBEBACBDDDAADABCBAAEACEEBEDDBBCA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"CEADBADACCABACEDBDABCEACADBECECDDABAEECDABAEB";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"AABABAAAAAAAAEAABCABAAAABAECBABDAAAABDCAAAABA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DAABECCABEACECDCAABBDEDCAEECEBCEAADDEDCBACCEE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"ACACBADEBBBAABCBBAABADDBAAABCEDABCDEEDDEABCDE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"CCABCADDDDBBECEDBDABADEBAACECBDAEDEECEBBDCAAA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DEABCEDADDADEBBECAEBCDDDAAEBCBDADACDEBCDEBCCA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"BEACBDCAEBADAAEEDBABBDDCADEDECCDBCEAEBDDEBBCB";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"CEABCDCAEDAEDBBEBAEBCAEBAEDCBBDABACEEEDDBBCCE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"CCACBEABBBBCECABCAEBCAABAEEDDEADADCEBEDCDADBE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"AEABEDCADCADECAECDABCDBCAAEBAEDACEBDBEDABBBCA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"CCABCADAEEAAECBEBAEBADDBAAEBBBBABBCCCEADCECCD";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"ADBCADDBCADEBBDECBDBCDECABDACEDECABCBDEBCADAA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DAABBACCEEABBAABABDADDDEABBABBCCBCAABBCCDBBAE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"AEABEEDAEBAACBBEABEBBCDDAADABBCAECCDBBDACADCE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"ACACCEEADDAACCAEABBBADBAAEBDEBCAAACDCBDDBADEA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"CEACCCDEBBADDBAEAAEBAEDAAEECDBDDAAEAEADDDACCE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DCACBADAEDABDBDDBEEBDCDEAADBBBDACDCDCACDBBDCE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DAABEEDBDBABDCBDDBDBDDDAAADBEBCAEADDBBDDCBDCA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DEABCEDCDDAAEACEADABACDBEEEBDBDADDEDBBCADADAE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"AEABADBEABAABABBAADDAEEAAAEDBBEABEDABEAADDCCE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"AEABEEEEDBADECBEDBABAADDAAACCBDAEACDCBDDABCCE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"BCABBCADACADCBED*AABDCDBBDBEAACDBBCCADBAADCDE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"CCABEADADDAEDADECBBBBDDEABDBCBCCCECAEBDDBBACE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"AAABCEDADBAAECBEABCBADDEAADBEBCAEACDBBDDCBBCA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"BCABCDDAEBADECAE.BCBCCDEBCDCABCACDADEB*BDACDE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DEACCDDBCDAEEBCEBEDBAACAAADCCBCAADBDBDDDBBDCA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DCAAADCADDDDEBBBBDABCEDBAEEDAEDABBDCBBDDEDACE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DEACCADBADADECBEABEBECBDAADCCBCADAEEEECCEBBCA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"CCABCACECDABACEBACDBCDDAAEBCDBEEBACDADDECDBCE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DBECAEDEBCABCCDEACDBACEAABDCBBCAACBDEDCABEBEA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"BEBACDAEDEAACCCEABDCACADADC*BBACABCAAEDBBBABA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DEABCEDADDAAECBEBBEBBDDAAADBCBCABBADBBDDBBDCD";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DEACEEDCDCACECEEAEDBADEAAEEBAECADCCEBDBADBACA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"CCACDACAEDACECBCAEABCDEACEBDBCAEBEADBADCACDEA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DEABBDABCDBEEBBCDDBBCDBCAABEEBADCBCBBDCCACEDC";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"CCAABBCAEEADBAEEACABAADEACEDCEBBAEBACEEDBCEAA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DEABCEDADBADECBEDBBBABABAEBCCBDAEACABDCDCBDCE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DEABDADCEEAEDBBEDBBBACEDABEBDBCACDADEABADACEE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DCACEBBDCABCCAEDEBABCCCAAADAEBABCAAEEEAACACAB";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"CCACABDBDCEDEBEEDCABCEAAECECBBCDEADACEDEDADEA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"CEADCDDACBACECABDBDBCABACEEDBEDADCACEEEDDBCAE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DEABECDEEEAEEBBEBADBCDDDADBBCBCABACDBBCDBBDEE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"BAABADAADEAEABBDDBBBEADAABCDABCAACABEBADBAAAE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DAACCBBEECBEDBEAEAEEEEECABCACBCBAAACDECDAADBB";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"AEACCAAADDACEBBEBEABBDDAAAACCECABADEEBADABDCC";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"EBABBAADBCAADCBEADACAACBACAEBAEABCEACCDABEDAA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
